PRIMARY_TAG,Date,Well,OilDay,Injgas,AnnulusA,AnnulusB,WHP,WaterDay,Choke,TotLiq
187,2015-01-25 00:00:00,B,65,13402.02817,75.70654227,83.41538109,28.12062937,13,8,78
188,2015-01-25 00:00:00,C,31,14906.74073,77.96264319,76.17061715,32.3551049,25,8,56
189,2015-01-25 00:00:00,D,32,19460.24913,75.6903074,100.0090026,32.10013986,41,8,73
190,2015-01-25 00:00:00,F,29,16490.77645,86.67345706,87.12615039,35.74951049,37,8,66
191,2015-01-25 00:00:00,G,74,25526.5243,75.21569751,72.03521463,26.63482517,67,8,141
192,2015-01-25 00:00:00,H,83,20017.88253,76.82399406,77.64758609,28.40895105,40,8,123
193,2015-01-26 00:00:00,A,66,5970.170455,67.63694692,75.2775186,28.44705066,0,8,66
194,2015-01-26 00:00:00,B,65,13391.44646,75.48820437,81.26814811,28.08743928,13,8,78
195,2015-01-26 00:00:00,C,31,14986.70652,77.84484104,76.40814304,32.19271339,25,8,56
196,2015-01-26 00:00:00,D,32,19412.64575,75.42055912,98.87291267,31.99146426,41,8,73
197,2015-01-26 00:00:00,F,29,16535.40154,87.03436982,87.34699932,35.52324774,37,8,66
198,2015-01-26 00:00:00,G,74,25481.70386,74.77353727,78.76318457,26.68473282,67,8,141
199,2015-01-26 00:00:00,H,83,19968.38458,76.4107227,77.69870431,28.18549618,40,8,123
200,2015-01-27 00:00:00,A,66,5907.625184,68.30789188,75.78096651,28.42659722,0,8,66
201,2015-01-27 00:00:00,B,67,13432.34602,75.59907528,83.21983686,28.07215278,9,8,76
202,2015-01-27 00:00:00,C,31,14934.90136,77.02959418,78.99939325,32.02944444,25,8,56
203,2015-01-27 00:00:00,D,32,19430.59878,75.89325391,96.21079249,32.08597222,41,8,73
204,2015-01-27 00:00:00,F,29,16532.20541,87.33180248,86.27726576,35.65333333,37,8,66
205,2015-01-27 00:00:00,G,76,25480.34274,75.11777042,85.42053049,27.05527778,76,8,152
206,2015-01-27 00:00:00,H,83,20020.95217,76.35149495,78.39894885,28.10388889,40,8,123
207,2015-01-28 00:00:00,A,66,5967.137338,67.70690703,74.90926527,28.46215278,0,8,66
208,2015-01-28 00:00:00,B,67,13456.31515,75.70215453,82.4034957,28.03097222,9,8,76
209,2015-01-28 00:00:00,C,31,15023.42144,77.72012146,77.9709722,32.06166667,25,8,56
210,2015-01-28 00:00:00,D,32,19431.08985,75.06265956,96.49948038,31.90680556,41,8,73
211,2015-01-28 00:00:00,F,19,16530.28359,87.23138133,86.56381881,35.51027778,46,8,65
212,2015-01-28 00:00:00,G,76,25550.78358,74.89731592,82.81731735,26.82340278,76,8,152
213,2015-01-28 00:00:00,H,83,19966.0465,75.81100963,78.18297319,27.69895833,40,8,123
214,2015-01-29 00:00:00,A,66,5900.336312,68.3965093,74.20924833,28.32449688,0,8,66
215,2015-01-29 00:00:00,B,67,13458.73413,75.70916775,84.06328883,28.15697432,9,8,76
216,2015-01-29 00:00:00,C,31,14983.09025,77.63617432,76.48745833,32.24677307,25,8,56
217,2015-01-29 00:00:00,D,32,19500.81567,74.87131945,97.35687383,31.90707842,41,8,73
218,2015-01-29 00:00:00,F,19,16591.20843,87.30578478,87.45854106,35.39389313,46,8,65
219,2015-01-29 00:00:00,G,76,25492.52957,74.79263414,80.37808962,27.20076336,76,8,152
220,2015-01-29 00:00:00,H,78,19984.83923,76.44117702,77.10960019,27.86967384,46,8,124
221,2015-01-30 00:00:00,A,66,5960.899851,67.88449264,75.74435775,28.31784722,0,8,66
222,2015-01-30 00:00:00,B,67,13399.74286,74.93014316,83.07912486,27.90791667,9,8,76
223,2015-01-30 00:00:00,C,31,15005.63868,76.81745325,78.96389508,31.98756944,25,8,56
224,2015-01-30 00:00:00,D,32,19424.60881,74.79088082,96.7926352,31.92715278,41,8,73
225,2015-01-30 00:00:00,F,19,16510.29382,86.80308435,86.85768734,35.126875,46,8,65
226,2015-01-30 00:00:00,G,76,25581.68724,75.87312451,79.61362313,27.07888889,76,8,152
227,2015-01-30 00:00:00,H,78,20008.05953,75.77018942,78.44906239,27.73222222,46,8,124
228,2015-01-31 00:00:00,A,66,5920.620818,68.35846959,77.10878836,28.33229167,0,8,66
229,2015-01-31 00:00:00,B,67,13398.16623,75.08178246,83.65283562,27.39041667,9,8,76
230,2015-01-31 00:00:00,C,31,14906.11873,76.9788565,77.41133185,31.91777778,25,8,56
231,2015-01-31 00:00:00,D,32,19425.70033,75.62503407,97.25224523,31.91638889,41,8,73
232,2015-01-31 00:00:00,F,19,16447.25949,86.96653139,86.16757828,35.53881944,46,8,65
233,2015-01-31 00:00:00,G,76,25509.4716,75.16308837,78.82388984,27.14715278,76,8,152
234,2015-01-31 00:00:00,H,78,19980.66513,76.10657506,78.2780374,27.73840278,46,8,124
235,2015-02-01 00:00:00,A,66,5973.902166,68.2001809,77.00216189,28.40215128,0,8,66
236,2015-02-01 00:00:00,B,67,13409.59387,75.03539019,83.34624239,27.31818182,9,8,76
237,2015-02-01 00:00:00,C,31,14995.83994,76.61042586,77.0536103,31.93691881,25,8,56
238,2015-02-01 00:00:00,D,32,19501.70607,74.88525261,95.08508325,31.93178348,41,8,73
239,2015-02-01 00:00:00,F,19,16472.79819,86.76346655,88.26841308,35.42498265,46,8,65
240,2015-02-01 00:00:00,G,76,25519.52233,75.25023166,77.20882893,27.22631944,76,8,152
241,2015-02-01 00:00:00,H,78,20035.12477,76.27147608,76.00994471,27.60957668,46,8,124
242,2015-02-02 00:00:00,A,66,5923.086053,68.03031302,76.32558112,28.39069444,0,8,66
243,2015-02-02 00:00:00,B,66,13376.07472,75.04567693,82.39010976,27.34451389,11,8,77
244,2015-02-02 00:00:00,C,32,14934.78709,76.72088935,78.34378274,31.86222222,30,8,62
245,2015-02-02 00:00:00,D,32,19483.58882,74.66012469,96.93444452,31.75381944,41,8,73
246,2015-02-02 00:00:00,F,19,16528.70638,87.40235053,86.76798883,35.56055556,46,8,65
247,2015-02-02 00:00:00,G,76,25549.16163,74.81772399,76.10804804,27.11165857,76,8,152
248,2015-02-02 00:00:00,H,78,19959.46504,76.79811377,76.7639133,27.79555556,46,8,124
249,2015-02-03 00:00:00,A,66,5936.324891,68.40939664,75.78246358,28.34708333,0,8,66
250,2015-02-03 00:00:00,B,66,13358.86597,75.44272766,82.49227643,27.40777778,11,8,77
251,2015-02-03 00:00:00,C,32,14957.54563,77.42835972,77.84647433,32.97270833,30,8,62
252,2015-02-03 00:00:00,D,32,19503.09241,74.89021573,95.97986136,31.83965278,41,8,73
253,2015-02-03 00:00:00,F,19,16523.20595,86.81888844,86.62539388,35.77215278,47,8,66
254,2015-02-03 00:00:00,G,76,25495.03454,74.90709706,76.01736712,27.34201389,76,8,152
255,2015-02-03 00:00:00,H,78,19943.76839,76.0629621,77.43994105,27.93152778,46,8,124
256,2015-02-04 00:00:00,A,66,5925.226278,67.79839295,74.52488458,28.30333333,0,8,66
257,2015-02-04 00:00:00,B,66,13371.03152,74.59528146,81.861684,27.41993056,11,8,77
258,2015-02-04 00:00:00,C,32,14998.15338,77.86543168,77.46352684,33.35194444,30,8,62
259,2015-02-04 00:00:00,D,32,19455.16834,75.2586983,97.04939376,31.96069444,41,8,73
260,2015-02-04 00:00:00,F,19,16523.69008,87.350985,88.18432061,35.80340278,47,8,66
261,2015-02-04 00:00:00,G,74,25484.2359,75.22012064,76.02283993,27.1375,77,8,151
262,2015-02-04 00:00:00,H,78,19966.68377,76.71751563,78.24787554,27.90909722,44,8,122
263,2015-02-05 00:00:00,A,66,5942.958775,67.47717445,74.26687804,28.35634976,0,8,66
264,2015-02-05 00:00:00,B,66,13919.46791,75.6586503,83.52152201,27.63622484,11,8,77
265,2015-02-05 00:00:00,C,32,15498.26014,77.29177382,74.74882637,33.91769604,30,8,62
266,2015-02-05 00:00:00,D,26,19440.52455,74.57057446,95.13024214,31.97682165,47,8,73
267,2015-02-05 00:00:00,F,19,16506.23768,87.09174665,86.82680872,35.36509368,47,8,66
268,2015-02-05 00:00:00,G,74,25527.07847,74.43906536,86.40176667,27.27286607,77,8,151
269,2015-02-05 00:00:00,H,78,19953.72656,76.93621379,77.45499498,27.75641915,44,8,122
270,2015-02-06 00:00:00,A,66,5912.058399,67.48050612,75.49188433,28.12006944,0,8,66
271,2015-02-06 00:00:00,B,69,14395.98413,75.81283809,82.80667693,27.55993056,9,8,78
272,2015-02-06 00:00:00,C,32,15904.71431,77.55142524,76.58485794,34.19215278,30,8,62
